Platform,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
GC,133.46,38.71,21.58,5.18,199.36
PS2,583.84,339.29,139.2,193.44,1255.64
DS,390.71,194.65,175.57,60.53,822.49
X360,601.05,280.58,12.43,85.54,979.96
XB,186.69,60.95,1.38,8.72,258.26
2600,90.6,5.47,0.0,0.91,97.08
GEN,19.27,5.52,2.67,0.89,28.36
TG16,0.0,0.0,0.16,0.0,0.16
Wii,507.71,268.38,69.35,80.61,926.71
DC,5.43,1.69,8.56,0.27,15.97
NES,125.94,21.15,98.65,5.31,251.07
3DS,78.87,58.52,97.35,12.63,247.46
SAT,0.72,0.54,32.26,0.07,33.59
PCFX,0.0,0.0,0.03,0.0,0.03
NG,0.0,0.0,1.44,0.0,1.44
N64,139.02,41.06,34.22,4.38,218.88
3DO,0.0,0.0,0.1,0.0,0.1
GBA,187.54,75.25,47.33,7.73,318.5
PS4,96.8,123.7,14.3,43.36,278.1
GB,114.32,47.82,85.12,8.2,255.45
GG,0.0,0.0,0.04,0.0,0.04
PS,336.51,213.6,139.82,40.91,730.66
SCD,1.0,0.36,0.45,0.05,1.87
PC,93.28,139.68,0.17,24.86,258.82
SNES,61.23,19.04,116.55,3.22,200.05
WS,0.0,0.0,1.42,0.0,1.42
PSV,16.2,16.33,20.96,8.45,61.93
PS3,392.26,343.71,79.99,141.93,957.84
PSP,108.99,68.25,76.79,42.19,296.28
WiiU,38.32,24.23,12.79,6.45,81.86
XOne,83.19,45.65,0.34,11.92,141.06
